HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0302.81.00,03028100,,,Sharks,"Dogfish and other sharks, fresh or chilled, excluding fillets, livers, roes and fish meat of 0304.",0.1,0.25
0302.82.00,03028200,,,,"Rays & skates, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.83.00,03028300,,,,"Toothfish excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.84.11,03028411,,,,"Seabass, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.84.50,03028450,,,,"Seabass, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.85.11,03028511,,,,"Seabream, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.85.50,03028550,,,,"Seabream, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.89.11,03028911,,,*,"Fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents 6.8 kg or less.",0.1,0.25
0302.89.50,03028950,,,*,"Fish, nesoi, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg.",0.1,0.25
0302.91.20,03029120,,,,"Sturgeon Roe, fresh or chilled.",0.1,0.25
0302.91.40,03029140,,,,"Mullet and other fish liver and roes, fresh or chilled.",0.1,0.25
0302.92.00,03029200,,,Sharks,"Shark fins, fresh or chilled, excluding fillet.",0.1,0.25
0302.99.00,03029900,,,*,"Other fish, fresh or chilled, nesoi.",0.1,0.25
0303.11.00,03031100,,,Salmon,"Sockeye salmon (red salmon) (Orncorhynchus nerka), frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
